Time,X,Y,Z
3.158347,-0.1104126,-0.5268555,-0.8847656
3.162102,-0.1104126,-0.5268555,-0.8847656
3.164965,-0.1104126,-0.5268555,-0.8847656
3.170422,-0.1104126,-0.5268555,-0.8847656
3.172669,-0.1104126,-0.5268555,-0.8847656
3.174907,-0.1104126,-0.5268555,-0.8847656
3.181618,-0.1104126,-0.5268555,-0.8847656
3.184055,-0.1104126,-0.5268555,-0.8847656
3.186503,-0.1104126,-0.5268555,-0.8847656
3.188949,-0.1104126,-0.5268555,-0.8847656
3.191224,-0.1179809,-0.5478516,-0.8461913
3.193478,-0.1179809,-0.5478516,-0.8461913
3.195716,-0.1179809,-0.5478516,-0.8461913
3.198359,-0.1179809,-0.5478516,-0.8461913
3.200599,-0.1179809,-0.5478516,-0.8461913
3.202754,-0.1179809,-0.5478516,-0.8461913
3.204988,-0.1179809,-0.5478516,-0.8461913
3.207265,-0.1179809,-0.5478516,-0.8461913
3.209512,-0.1179809,-0.5478516,-0.8461913
3.211758,-0.1179809,-0.5478516,-0.8461913
3.214138,-0.1179809,-0.5478516,-0.8461913
3.220145,-0.1179809,-0.5478516,-0.8461913
3.222299,-0.1179809,-0.5478516,-0.8461913
3.22463,-0.1060181,-0.5341797,-0.8464355
3.226961,-0.1060181,-0.5341797,-0.8464355
3.229196,-0.1060181,-0.5341797,-0.8464355
3.231912,-0.1060181,-0.5341797,-0.8464355
3.23416,-0.1060181,-0.5341797,-0.8464355
3.236378,-0.1060181,-0.5341797,-0.8464355
3.23851,-0.1060181,-0.5341797,-0.8464355
3.240714,-0.1060181,-0.5341797,-0.8464355
3.24294,-0.1060181,-0.5341797,-0.8464355
3.245148,-0.1060181,-0.5341797,-0.8464355
3.247874,-0.1060181,-0.5341797,-0.8464355
3.250155,-0.1060181,-0.5341797,-0.8464355
3.252363,-0.1060181,-0.5341797,-0.8464355
3.258404,-0.1109009,-0.5334473,-0.8752441
3.260676,-0.1109009,-0.5334473,-0.8752441
3.262817,-0.1109009,-0.5334473,-0.8752441
3.265528,-0.1109009,-0.5334473,-0.8752441
3.267748,-0.1109009,-0.5334473,-0.8752441
3.269989,-0.1109009,-0.5334473,-0.8752441
3.272197,-0.1109009,-0.5334473,-0.8752441
3.274425,-0.1109009,-0.5334473,-0.8752441
3.276664,-0.1109009,-0.5334473,-0.8752441
3.278943,-0.1109009,-0.5334473,-0.8752441
3.281841,-0.1109009,-0.5334473,-0.8752441
3.284028,-0.1109009,-0.5334473,-0.8752441
3.286307,-0.1109009,-0.5334473,-0.8752441
3.288458,-0.1109009,-0.5334473,-0.8752441
3.290707,-0.1109009,-0.5334473,-0.8752441
3.297184,-0.1116333,-0.5332031,-0.8664551
