Time,X,Y,Z
9.96063,0.09710693,-0.8151855,-0.5478516
9.964174,0.09710693,-0.8151855,-0.5478516
9.966508,0.09710693,-0.8151855,-0.5478516
9.968733,0.09710693,-0.8151855,-0.5478516
9.970973,0.09710693,-0.8151855,-0.5478516
9.973202,0.09710693,-0.8151855,-0.5478516
9.975361,0.09710693,-0.8151855,-0.5478516
9.977566,0.09710693,-0.8151855,-0.5478516
9.979796,0.09710693,-0.8151855,-0.5478516
9.982005,0.09710693,-0.8151855,-0.5478516
9.984328,0.09710693,-0.8151855,-0.5478516
9.990448,0.09710693,-0.8151855,-0.5478516
9.997168,0.02825928,-0.8239746,-0.6218262
10.00009,0.02825928,-0.8239746,-0.6218262
10.00235,0.02825928,-0.8239746,-0.6218262
10.00456,0.02825928,-0.8239746,-0.6218262
10.0067,0.02825928,-0.8239746,-0.6218262
10.00892,0.02825928,-0.8239746,-0.6218262
10.0111,0.02825928,-0.8239746,-0.6218262
10.01334,0.02825928,-0.8239746,-0.6218262
10.01557,0.02825928,-0.8239746,-0.6218262
10.01779,0.02825928,-0.8239746,-0.6218262
10.02,0.02825928,-0.8239746,-0.6218262
10.02216,0.02825928,-0.8239746,-0.6218262
10.02827,0.05755615,-0.8225098,-0.6335449
10.03052,0.05755615,-0.8225098,-0.6335449
10.03262,0.05755615,-0.8225098,-0.6335449
10.03494,0.05755615,-0.8225098,-0.6335449
10.03708,0.05755615,-0.8225098,-0.6335449
10.03933,0.05755615,-0.8225098,-0.6335449
10.04149,0.05755615,-0.8225098,-0.6335449
10.04368,0.05755615,-0.8225098,-0.6335449
10.04611,0.05755615,-0.8225098,-0.6335449
10.04826,0.05755615,-0.8225098,-0.6335449
10.05075,0.05755615,-0.8225098,-0.6335449
10.05295,0.05755615,-0.8225098,-0.6335449
10.05517,0.05755615,-0.8225098,-0.6335449
10.05736,0.05755615,-0.8225098,-0.6335449
10.05947,0.05755615,-0.8225098,-0.6335449
10.06554,0.02557373,-0.8100586,-0.6604004
10.06788,0.02557373,-0.8100586,-0.6604004
10.0701,0.02557373,-0.8100586,-0.6604004
10.07225,0.02557373,-0.8100586,-0.6604004
10.07441,0.02557373,-0.8100586,-0.6604004
10.07667,0.02557373,-0.8100586,-0.6604004
10.07879,0.02557373,-0.8100586,-0.6604004
10.08107,0.02557373,-0.8100586,-0.6604004
10.08334,0.02557373,-0.8100586,-0.6604004
10.08556,0.02557373,-0.8100586,-0.6604004
10.08773,0.02557373,-0.8100586,-0.6604004
10.08985,0.02557373,-0.8100586,-0.6604004
10.09211,0.02557373,-0.8100586,-0.6604004
