Time,X,Y,Z
15.59972,-0.02661133,0.02642822,-0.9963378
15.60445,-0.02661133,0.02642822,-0.9963378
15.60666,-0.02661133,0.02642822,-0.9963378
15.6089,-0.02661133,0.02642822,-0.9963378
15.61108,-0.02661133,0.02642822,-0.9963378
15.61333,-0.02661133,0.02642822,-0.9963378
15.61551,-0.02661133,0.02642822,-0.9963378
15.61771,-0.02661133,0.02642822,-0.9963378
15.61994,-0.02661133,0.02642822,-0.9963378
15.6223,-0.02661133,0.02642822,-0.9963378
15.62457,-0.02661133,0.02642822,-0.9963378
15.62675,-0.02661133,0.02642822,-0.9963378
15.62909,-0.02661133,0.02642822,-0.9963378
15.6313,-0.02661133,0.02642822,-0.9963378
15.63717,-0.02612305,0.02716064,-1.000732
15.63952,-0.02612305,0.02716064,-1.000732
15.64172,-0.02612305,0.02716064,-1.000732
15.64396,-0.02612305,0.02716064,-1.000732
15.64621,-0.02612305,0.02716064,-1.000732
15.64851,-0.02612305,0.02716064,-1.000732
15.65067,-0.02612305,0.02716064,-1.000732
15.65294,-0.02612305,0.02716064,-1.000732
15.65513,-0.02612305,0.02716064,-1.000732
15.65734,-0.02612305,0.02716064,-1.000732
15.65962,-0.02612305,0.02716064,-1.000732
15.66183,-0.02612305,0.02716064,-1.000732
15.66413,-0.02709961,0.02764893,-1.001221
15.66634,-0.02709961,0.02764893,-1.001221
15.66858,-0.02709961,0.02764893,-1.001221
15.67443,-0.02709961,0.02764893,-1.001221
15.67669,-0.02709961,0.02764893,-1.001221
15.67889,-0.02709961,0.02764893,-1.001221
15.6811,-0.02709961,0.02764893,-1.001221
15.68328,-0.02709961,0.02764893,-1.001221
15.68549,-0.02709961,0.02764893,-1.001221
15.68769,-0.02709961,0.02764893,-1.001221
15.68998,-0.02709961,0.02764893,-1.001221
15.69233,-0.02709961,0.02764893,-1.001221
15.69913,-0.02758789,0.02716064,-0.9992675
15.70193,-0.02758789,0.02716064,-0.9992675
15.70456,-0.02758789,0.02716064,-0.9992675
15.70684,-0.02758789,0.02716064,-0.9992675
15.71276,-0.02758789,0.02716064,-0.9992675
15.71502,-0.02758789,0.02716064,-0.9992675
15.71718,-0.02758789,0.02716064,-0.9992675
15.71939,-0.02758789,0.02716064,-0.9992675
15.72171,-0.02758789,0.02716064,-0.9992675
15.72391,-0.02758789,0.02716064,-0.9992675
15.72613,-0.02758789,0.02716064,-0.9992675
15.72833,-0.02685547,0.02764893,-1
15.73059,-0.02685547,0.02764893,-1
15.73275,-0.02685547,0.02764893,-1
15.73495,-0.02685547,0.02764893,-1
15.73713,-0.02685547,0.02764893,-1
15.73962,-0.02685547,0.02764893,-1
15.74182,-0.02685547,0.02764893,-1
15.74395,-0.02685547,0.02764893,-1
15.74979,-0.02685547,0.02764893,-1
15.7519,-0.02685547,0.02764893,-1
15.75412,-0.02685547,0.02764893,-1
15.75648,-0.02685547,0.02764893,-1
15.7587,-0.02685547,0.02764893,-1
15.76094,-0.02685547,0.02764893,-1
15.76331,-0.02636719,0.02813721,-1.001221
15.76557,-0.02636719,0.02813721,-1.001221
15.76774,-0.02636719,0.02813721,-1.001221
15.77,-0.02636719,0.02813721,-1.001221
15.77232,-0.02636719,0.02813721,-1.001221
15.77456,-0.02636719,0.02813721,-1.001221
15.77673,-0.02636719,0.02813721,-1.001221
15.77893,-0.02636719,0.02813721,-1.001221
15.78113,-0.02636719,0.02813721,-1.001221
15.78703,-0.02636719,0.02813721,-1.001221
15.78942,-0.02636719,0.02813721,-1.001221
15.79153,-0.02636719,0.02813721,-1.001221
15.79371,-0.02636719,0.02813721,-1.001221
15.79582,-0.02636719,0.02813721,-1.001221
15.79812,-0.02661133,0.02813721,-1.000732
15.80034,-0.02661133,0.02813721,-1.000732
15.80273,-0.02661133,0.02813721,-1.000732
15.80498,-0.02661133,0.02813721,-1.000732
15.8072,-0.02661133,0.02813721,-1.000732
15.80943,-0.02661133,0.02813721,-1.000732
15.81154,-0.02661133,0.02813721,-1.000732
15.81372,-0.02661133,0.02813721,-1.000732
15.81592,-0.02661133,0.02813721,-1.000732
15.8182,-0.02661133,0.02813721,-1.000732
15.82412,-0.02661133,0.02813721,-1.000732
15.82633,-0.02661133,0.02813721,-1.000732
15.82852,-0.02661133,0.02813721,-1.000732
15.83074,-0.02661133,0.02764893,-1.000488
15.83298,-0.02661133,0.02764893,-1.000488
15.83526,-0.02661133,0.02764893,-1.000488
15.83748,-0.02661133,0.02764893,-1.000488
15.83972,-0.02661133,0.02764893,-1.000488
15.84192,-0.02661133,0.02764893,-1.000488
15.84408,-0.02661133,0.02764893,-1.000488
15.84629,-0.02661133,0.02764893,-1.000488
15.84849,-0.02661133,0.02764893,-1.000488
15.85288,-0.02661133,0.02764893,-1.000488
15.85577,-0.02661133,0.02764893,-1.000488
15.86707,-0.02661133,0.02764893,-1.001953
15.86981,-0.02661133,0.02764893,-1.001953
15.8725,-0.02661133,0.02764893,-1.001953
15.87606,-0.02661133,0.02764893,-1.001953
15.88165,-0.02661133,0.02764893,-1.001953
15.88461,-0.02661133,0.02764893,-1.001953
15.88709,-0.02661133,0.02764893,-1.001953
15.89088,-0.02661133,0.02764893,-1.001953
15.89506,-0.02661133,0.02764893,-1.001953
15.90325,-0.02685547,0.02691651,-1.000977
15.90579,-0.02685547,0.02691651,-1.000977
15.90819,-0.02685547,0.02691651,-1.000977
15.91191,-0.02685547,0.02691651,-1.000977
15.9171,-0.02685547,0.02691651,-1.000977
15.91959,-0.02685547,0.02691651,-1.000977
15.92283,-0.02685547,0.02691651,-1.000977
15.92641,-0.02685547,0.02691651,-1.000977
15.93063,-0.02685547,0.02691651,-1.000977
15.93336,-0.02685547,0.02691651,-1.000977
15.94099,-0.02734375,0.02691651,-0.9995117
15.94859,-0.02734375,0.02691651,-0.9995117
15.95173,-0.02734375,0.02691651,-0.9995117
15.95421,-0.02734375,0.02691651,-0.9995117
15.95797,-0.02734375,0.02691651,-0.9995117
15.96317,-0.02734375,0.02716064,-1.000732
15.96599,-0.02734375,0.02716064,-1.000732
15.96847,-0.02734375,0.02716064,-1.000732
15.97087,-0.02734375,0.02716064,-1.000732
15.978,-0.02734375,0.02716064,-1.000732
15.98287,-0.02734375,0.02716064,-1.000732
15.98535,-0.02734375,0.02716064,-1.000732
15.98787,-0.02734375,0.02716064,-1.000732
15.99047,-0.02734375,0.02716064,-1.000732
15.99391,-0.02734375,0.02716064,-1.000732
15.99847,-0.02661133,0.02789307,-1.001465
16.00146,-0.02661133,0.02789307,-1.001465
16.00399,-0.02661133,0.02789307,-1.001465
16.00782,-0.02661133,0.02789307,-1.001465
16.01627,-0.02661133,0.02789307,-1.001465
16.01884,-0.02661133,0.02789307,-1.001465
16.02125,-0.02661133,0.02789307,-1.001465
16.02386,-0.02661133,0.02789307,-1.001465
16.02723,-0.02661133,0.02789307,-1.001465
16.03249,-0.02661133,0.02789307,-1.002441
16.03482,-0.02661133,0.02789307,-1.002441
16.03705,-0.02661133,0.02789307,-1.002441
16.03939,-0.02661133,0.02789307,-1.002441
16.04158,-0.02661133,0.02789307,-1.002441
16.04377,-0.02661133,0.02789307,-1.002441
16.04587,-0.02661133,0.02789307,-1.002441
16.05174,-0.02661133,0.02789307,-1.002441
16.0539,-0.02661133,0.02789307,-1.002441
16.05622,-0.02661133,0.02789307,-1.002441
16.05839,-0.02661133,0.02789307,-1.002441
16.06058,-0.02661133,0.02789307,-1.002441
16.06277,-0.02661133,0.02789307,-1.002441
16.06504,-0.02734375,0.02716064,-1.000977
16.06731,-0.02734375,0.02716064,-1.000977
16.06952,-0.02734375,0.02716064,-1.000977
16.07176,-0.02734375,0.02716064,-1.000977
16.07391,-0.02734375,0.02716064,-1.000977
16.07609,-0.02734375,0.02716064,-1.000977
16.07829,-0.02734375,0.02716064,-1.000977
16.08051,-0.02734375,0.02716064,-1.000977
16.08269,-0.02734375,0.02716064,-1.000977
16.08493,-0.02734375,0.02716064,-1.000977
16.09085,-0.02734375,0.02716064,-1.000977
16.09298,-0.02734375,0.02716064,-1.000977
16.09521,-0.02734375,0.02716064,-1.000977
16.09949,-0.02734375,0.02667237,-1.000732
16.10192,-0.02734375,0.02667237,-1.000732
16.10413,-0.02734375,0.02667237,-1.000732
16.10651,-0.02734375,0.02667237,-1.000732
16.10868,-0.02734375,0.02667237,-1.000732
16.11088,-0.02734375,0.02667237,-1.000732
16.11303,-0.02734375,0.02667237,-1.000732
16.11526,-0.02734375,0.02667237,-1.000732
16.11783,-0.02734375,0.02667237,-1.000732
16.12005,-0.02734375,0.02667237,-1.000732
16.12239,-0.02734375,0.02667237,-1.000732
16.12822,-0.02734375,0.02667237,-1.000732
16.13048,-0.02734375,0.02789307,-1.001709
16.13279,-0.02734375,0.02789307,-1.001709
16.13509,-0.02734375,0.02789307,-1.001709
16.13732,-0.02734375,0.02789307,-1.001709
16.13987,-0.02734375,0.02789307,-1.001709
16.14212,-0.02734375,0.02789307,-1.001709
16.14432,-0.02734375,0.02789307,-1.001709
16.14658,-0.02734375,0.02789307,-1.001709
16.14879,-0.02734375,0.02789307,-1.001709
16.15101,-0.02734375,0.02789307,-1.001709
16.15316,-0.02734375,0.02789307,-1.001709
16.15541,-0.02734375,0.02789307,-1.001709
16.16083,-0.02734375,0.02789307,-1.001709
16.16672,-0.02709961,0.02716064,-1.001465
16.16897,-0.02709961,0.02716064,-1.001465
16.17113,-0.02709961,0.02716064,-1.001465
16.17343,-0.02709961,0.02716064,-1.001465
16.17557,-0.02709961,0.02716064,-1.001465
16.1778,-0.02709961,0.02716064,-1.001465
16.18003,-0.02709961,0.02716064,-1.001465
16.18223,-0.02709961,0.02716064,-1.001465
16.18442,-0.02709961,0.02716064,-1.001465
16.18662,-0.02709961,0.02716064,-1.001465
16.18904,-0.02709961,0.02716064,-1.001465
16.19122,-0.02709961,0.02716064,-1.001465
16.19343,-0.02709961,0.02716064,-1.001465
16.19564,-0.02709961,0.02716064,-1.001465
16.19785,-0.02709961,0.02716064,-1.001465
16.20368,-0.02709961,0.02716064,-1.000244
16.20605,-0.02709961,0.02716064,-1.000244
16.20827,-0.02709961,0.02716064,-1.000244
16.21049,-0.02709961,0.02716064,-1.000244
16.21268,-0.02709961,0.02716064,-1.000244
16.2148,-0.02709961,0.02716064,-1.000244
16.217,-0.02709961,0.02716064,-1.000244
16.21919,-0.02709961,0.02716064,-1.000244
16.22146,-0.02709961,0.02716064,-1.000244
16.22364,-0.02709961,0.02716064,-1.000244
16.22585,-0.02709961,0.02716064,-1.000244
16.22809,-0.02709961,0.02716064,-1.000244
16.23029,-0.02709961,0.02716064,-1.000244
16.23247,-0.02709961,0.02716064,-1.000244
16.23458,-0.02709961,0.02716064,-1.000244
16.23679,-0.02709961,0.02716064,-1.000244
16.24258,-0.02685547,0.02740479,-1.001953
16.24481,-0.02685547,0.02740479,-1.001953
16.247,-0.02685547,0.02740479,-1.001953
16.24921,-0.02685547,0.02740479,-1.001953
16.25137,-0.02685547,0.02740479,-1.001953
16.25356,-0.02685547,0.02740479,-1.001953
16.25586,-0.02685547,0.02740479,-1.001953
16.25802,-0.02685547,0.02740479,-1.001953
16.26026,-0.02685547,0.02740479,-1.001953
16.26267,-0.02636719,0.02764893,-1.003906
16.26491,-0.02636719,0.02764893,-1.003906
16.26709,-0.02636719,0.02764893,-1.003906
16.26954,-0.02636719,0.02764893,-1.003906
16.2718,-0.02636719,0.02764893,-1.003906
16.27402,-0.02636719,0.02764893,-1.003906
16.27989,-0.02636719,0.02764893,-1.003906
16.28204,-0.02636719,0.02764893,-1.003906
16.28425,-0.02636719,0.02764893,-1.003906
16.28636,-0.02636719,0.02764893,-1.003906
16.28872,-0.02636719,0.02764893,-1.003906
16.29101,-0.02636719,0.02764893,-1.003906
16.29325,-0.02636719,0.02764893,-1.003906
16.29549,-0.02709961,0.02618408,-0.9990234
16.29974,-0.02709961,0.02618408,-0.9990234
16.30195,-0.02709961,0.02618408,-0.9990234
16.30415,-0.02709961,0.02618408,-0.9990234
16.30645,-0.02709961,0.02618408,-0.9990234
16.30866,-0.02709961,0.02618408,-0.9990234
16.31087,-0.02709961,0.02618408,-0.9990234
16.313,-0.02709961,0.02618408,-0.9990234
16.31884,-0.02709961,0.02618408,-0.9990234
16.32107,-0.02709961,0.02618408,-0.9990234
16.3235,-0.02709961,0.02618408,-0.9990234
16.32568,-0.02709961,0.02618408,-0.9990234
16.32788,-0.02709961,0.02618408,-0.9990234
16.33012,-0.02758789,0.02691651,-0.9997558
16.33233,-0.02758789,0.02691651,-0.9997558
16.33454,-0.02758789,0.02691651,-0.9997558
16.33662,-0.02758789,0.02691651,-0.9997558
16.33918,-0.02758789,0.02691651,-0.9997558
16.34159,-0.02758789,0.02691651,-0.9997558
16.34393,-0.02758789,0.02691651,-0.9997558
16.34635,-0.02758789,0.02691651,-0.9997558
16.34869,-0.02758789,0.02691651,-0.9997558
16.3511,-0.02758789,0.02691651,-0.9997558
16.35714,-0.02758789,0.02691651,-0.9997558
16.35941,-0.02758789,0.02691651,-0.9997558
